Precio UF,N Habitaciones,Area m2,N Baños,Comuna,Provincia,Amueblado,Gastos Comunes,Área útil,Estacionamiento,m2 terreno,Enlace,Año de construcción,Agua,Aire Acondicionado,Alarma,Bodega,Chimenea,Placares,Cocina Equipada,Terraza,Portero,Centros comerciales,Cerca de Escuelas,Cocina Integrada,Electricidad,Internet,Patio,Aseos,Piscina,Quincho,Cerca de estación de tren,Calefacción,Jacuzzi,Jardín,Estado de conservación,Gas Natural,Área juegos infantiles,Gimnasio,Seguridad 24 horas,Vista panorámica,Balcón,Pieza de Servicio,Acceso a discapacitados,Cancha de Tenis,Nivel,Sólo familias,Sauna,Ascensor
"1.762,39",2,,1,San Felipe,San Felipe de Aconcagua,,,,,,https://www.icasas.cl/propiedad/4bf6-b162-19bfb92-1e5b412a99fa-77ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.400,4,213,5,Puchuncaví,Valparaíso,Sin amueblar,: true,213,True,213,https://www.icasas.cl/propiedad/cb62-bc89-19bb324-d15c3b627a9c-74a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.500,3,230,3,Puchuncaví,Valparaíso,Sin amueblar,,230,True,1.014,https://www.icasas.cl/propiedad/f4d6-b570-19bb322-38aa515bf83d-7eb4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.990,3,200,3,Algarrobo,San Antonio,,,,True,230,https://www.icasas.cl/propiedad/92ab-816c-197c3f0-47ea372bb763-7462,,True,,True,,,,,,,,,,True,True,True,,,,,,,,,True,,,,,True,,,,,,,
"3.776,54",4,280,3,Villa Alemana,Valparaíso,Sin amueblar,,,,105,https://www.icasas.cl/propiedad/6a8-a587-19aefae-b2c7b28526be-7503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.570,3,84,1,Viña del Mar,Valparaíso,Sin amueblar,,,,89,https://www.icasas.cl/propiedad/bfd7-8139-19a4d54-6edb3afa8230-73cd,1.967,True,,,,,True,,,,,True,,True,True,True,,,,True,,,,,True,,,,True,True,,,,,,,
7.660,6,250,4,Viña del Mar,Valparaíso,Sin amueblar,,,True,400,https://www.icasas.cl/propiedad/c57b-9c7e-19ae222-c714f2746150-7180,1.955,True,,,True,True,True,,True,,,True,,True,,True,,,,True,,,True,,True,,,,True,True,True,,,,,,
16.800,7,1.060,4,Viña del Mar,Valparaíso,Sin amueblar,,,,780,https://www.icasas.cl/propiedad/30c6-9428-1961bb7-51d5e7f3b729-7d54,,,,,True,,True,True,True,True,,,,,,,,,,,,,,,True,,,,True,True,,,,,,,
"3.776,54",6,126,2,Cartagena,San Antonio,Sin amueblar,: true,,True,380,https://www.icasas.cl/propiedad/77aa-80fc-198df32-c59439fb0277-725f,1.500,True,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,
"4.909,51",4,122,2,Villa Alemana,Valparaíso,Sin amueblar,,,True,320,https://www.icasas.cl/propiedad/882c-af59-198768d-333756be090d-7864,1.990,True,,,True,True,True,True,True,,True,True,,True,True,True,,,True,,,,True,,,,,True,,,True,True,,,True,,
"4.657,74",3,300,2,Puchuncaví,Valparaíso,Sin amueblar,,,True,128,https://www.icasas.cl/propiedad/6a3-b2d9-199ced6-3aa50339db8c-7a1b,2.000,,,,True,,True,True,True,,True,True,,True,,True,,,,,,,True,,,,,,True,True,,,,,True,,
4.990,2,100,1,Zapallar,Petorca,Semi-amueblado,,,,10.002,https://www.icasas.cl/propiedad/fe10-a1ef-19748ac-37c8aad33e3f-71a5,2.025,,,,,,,,True,,True,True,,,,,,,,,,,,,,,,,True,,,,,,,,
7.200,4,300,2,Puchuncaví,Valparaíso,Amueblado,,,True,140,https://www.icasas.cl/propiedad/4c01-aa54-199c14f-22e4f3786056-7a4d,2.000,True,,,True,,True,True,True,,True,True,True,True,,True,,,True,,,,True,,,,,,,True,,,,,True,,
7.800,2,450,2,Puchuncaví,Valparaíso,Amueblado,,,True,90,https://www.icasas.cl/propiedad/8719-9115-19a1963-129d6ae8cfa7-7ab3,2.000,,,,,,True,True,True,,True,True,,True,,True,,,True,,,,True,,,,,,,,,True,,,True,,
5.960,4,105,3,La Ligua,Petorca,Sin amueblar,: true,105,,5.000,https://www.icasas.cl/propiedad/b8d9-a6b3-19baa33-5ef706a9c83e-7753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.963,8",2,70,1,Villa Alemana,Valparaíso,Sin amueblar,,,True,160,https://www.icasas.cl/propiedad/a951-8c84-19ae243-a9db33921424-7812,1.990,True,,,,,True,,,,True,True,True,True,True,True,,,,,,,,,,,,,,True,,,,,,,
4.200,2,67,1,El Quisco,San Antonio,Sin amueblar,,,,450,https://www.icasas.cl/propiedad/6007-b2ec-19aa3d2-ef43c4afb15d-7502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.500,5,300,3,Viña del Mar,Valparaíso,,,233,True,,https://www.icasas.cl/propiedad/87ba-94e6-196b73b-b867bd8882d6-744f,1.940,True,,,,True,,True,,,,,,True,,,,,,,,,,,,,,,,,True,,,,,,
"2.190,4",2,88,1,Villa Alemana,Valparaíso,,,,True,,https://www.icasas.cl/propiedad/43bf-a13e-19876da-f69d3f0291ba-7172,1.990,True,,,True,True,True,True,,True,True,True,True,True,True,True,1,,,,,,True,,,,,True,,,True,True,,,,,
7.300,3,,2,Viña del Mar,Valparaíso,,,105,True,95,https://www.icasas.cl/propiedad/9424-b1db-196b73b-3683424622c6-78ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.743,4,,3,Viña del Mar,Valparaíso,,,160,True,141,https://www.icasas.cl/propiedad/76b9-a1eb-196b73b-efcb2c11e781-70dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.400,7,202,2,Valparaíso,Valparaíso,,,,,202,https://www.icasas.cl/propiedad/ea62-8d9c-19bfb73-8c7968af2246-78e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.976,5,209,5,Viña del Mar,Valparaíso,Sin amueblar,: true,,True,700,https://www.icasas.cl/propiedad/ba15-9346-19b9ec3-dd8fa9295c70-719f,,True,,,True,True,,True,True,True,True,True,,True,True,True,,,,True,True,,True,,True,,,,True,True,,,,,,,
9.900,5,2.500,5,Quintero,Valparaíso,,,2.500,True,280,https://www.icasas.cl/propiedad/f73a-8923-196b73a-7e141fc9654d-72b8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
