Precio UF,N Habitaciones,N Baños,Comuna,Provincia,Amueblado,Estacionamiento,Año de construcción,Aire Acondicionado,Alarma,Bodega,Chimenea,Placares,Cocina Equipada,Terraza,Portero,Centros comerciales,Cerca de Escuelas,Cocina Integrada,Internet,Patio,Aseos,Piscina,Quincho,Cerca de estación de tren,Calefacción,Jacuzzi,Jardín,Área juegos infantiles,Gimnasio,Seguridad 24 horas,Vista panorámica,Balcón,Pieza de Servicio,Acceso a discapacitados,Cancha de Tenis,Sauna,Ascensor,Area Construida,Area Terreno,Casa,Terreno,Ratio Hab/Baños
11900.0,5.0,4.0,Viña del Mar,Valparaíso,Sin amueblar,0,2000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.0,224.0,1,0,1.25
2014.16,2.0,1.0,Villa Alemana,Valparaíso,Sin amueblar,1,1995.0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,125.0,62.0,1,0,2.0
3524.77,3.0,1.0,Villa Alemana,Valparaíso,Sin amueblar,1,2000.0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,180.0,90.0,1,0,3.0
4900.0,3.0,2.0,Puchuncaví,Valparaíso,Amueblado,1,2021.0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200.0,90.0,1,0,1.5
4190.0,4.0,2.0,Viña del Mar,Valparaíso,Sin amueblar,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,115.0,1,0,2.0
9000.0,8.0,5.0,Otras,Los Andes,Sin amueblar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2507.0,288.0,1,0,1.6
6800.0,2.0,2.0,Puchuncaví,Valparaíso,Semi-amueblado,1,2000.0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,420.0,70.0,1,0,1.0
20000.0,4.0,2.0,Valparaíso,Valparaíso,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,500.0,1,0,2.0
2769.47,3.0,1.0,Villa Alemana,Valparaíso,Sin amueblar,1,1980.0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,,500.0,1,0,3.0
4280.08,3.0,2.0,Quilpué,Valparaíso,Sin amueblar,1,2019.0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,207.0,1,0,1.5
